Date,Category,Product,Sales,Profit
2024-01-01,Electronics,Smartphone Alpha,1200,300
2024-01-05,Electronics,Laptop Pro,2500,600
2024-01-10,Furniture,Office Chair,400,100
2024-01-15,Electronics,Headphones Wireless,150,40
2024-02-01,Furniture,Executive Desk,800,200
2024-02-10,Clothing,Winter Jacket,300,120
2024-02-15,Electronics,Smartphone Beta,1100,250
2024-03-01,Electronics,Tablet Ultra,900,200
2024-03-10,Clothing,Running Shoes,200,80
2024-03-20,Furniture,Sofa Set,1500,400
2024-04-01,Electronics,Smartphone Gamma,1300,350
2024-04-10,Electronics,Laptop Lite,1800,450
2024-04-20,Furniture,Coffee Table,250,70
